Category: All categories

Week,Pet: (Belgium)
2018-01-07,57
2018-01-14,52
2018-01-21,40
2018-01-28,37
2018-02-04,56
2018-02-11,57
2018-02-18,34
2018-02-25,56
2018-03-04,74
2018-03-11,49
2018-03-18,68
2018-03-25,60
2018-04-01,66
2018-04-08,41
2018-04-15,48
2018-04-22,33
2018-04-29,53
2018-05-06,49
2018-05-13,28
2018-05-20,57
2018-05-27,35
2018-06-03,53
2018-06-10,45
2018-06-17,33
2018-06-24,47
2018-07-01,39
2018-07-08,52
2018-07-15,52
2018-07-22,49
2018-07-29,57
2018-08-05,44
2018-08-12,45
2018-08-19,49
2018-08-26,89
2018-09-02,50
2018-09-09,46
2018-09-16,51
2018-09-23,52
2018-09-30,62
2018-10-07,47
2018-10-14,45
2018-10-21,38
2018-10-28,46
2018-11-04,46
2018-11-11,44
2018-11-18,41
2018-11-25,31
2018-12-02,44
2018-12-09,38
2018-12-16,43
2018-12-23,64
2018-12-30,60
2019-01-06,43
2019-01-13,55
2019-01-20,35
2019-01-27,64
2019-02-03,77
2019-02-10,74
2019-02-17,67
2019-02-24,80
2019-03-03,92
2019-03-10,72
2019-03-17,100
2019-03-24,72
2019-03-31,41
2019-04-07,55
2019-04-14,60
2019-04-21,41
2019-04-28,50
2019-05-05,54
2019-05-12,51
2019-05-19,53
2019-05-26,42
2019-06-02,31
2019-06-09,54
2019-06-16,57
2019-06-23,42
2019-06-30,43
2019-07-07,44
2019-07-14,50
2019-07-21,58
2019-07-28,45
2019-08-04,57
2019-08-11,48
2019-08-18,42
2019-08-25,71
2019-09-01,54
2019-09-08,33
2019-09-15,42
2019-09-22,55
2019-09-29,52
2019-10-06,45
2019-10-13,60
2019-10-20,50
2019-10-27,57
2019-11-03,50
2019-11-10,37
2019-11-17,59
2019-11-24,58
2019-12-01,44
2019-12-08,42
2019-12-15,42
2019-12-22,50
2019-12-29,45
2020-01-05,45
2020-01-12,69
2020-01-19,52
2020-01-26,55
2020-02-02,57
2020-02-09,54
2020-02-16,59
2020-02-23,57
2020-03-01,59
2020-03-08,52
2020-03-15,52
2020-03-22,67
2020-03-29,60
2020-04-05,63
2020-04-12,67
2020-04-19,60
2020-04-26,51
2020-05-03,81
2020-05-10,50
2020-05-17,64
2020-05-24,38
2020-05-31,60
2020-06-07,49
2020-06-14,64
2020-06-21,63
2020-06-28,47
2020-07-05,64
2020-07-12,51
2020-07-19,46
2020-07-26,61
2020-08-02,64
2020-08-09,52
2020-08-16,57
2020-08-23,56
2020-08-30,57
2020-09-06,48
2020-09-13,46
2020-09-20,36
2020-09-27,50
2020-10-04,51
2020-10-11,26
2020-10-18,63
2020-10-25,50
2020-11-01,69
2020-11-08,62
2020-11-15,74
2020-11-22,65
2020-11-29,39
2020-12-06,59
2020-12-13,56
2020-12-20,52
2020-12-27,62
