Category: All categories

Week,Pet: (Portugal)
2018-01-07,72
2018-01-14,62
2018-01-21,57
2018-01-28,94
2018-02-04,91
2018-02-11,62
2018-02-18,33
2018-02-25,69
2018-03-04,73
2018-03-11,49
2018-03-18,40
2018-03-25,60
2018-04-01,71
2018-04-08,77
2018-04-15,32
2018-04-22,59
2018-04-29,59
2018-05-06,59
2018-05-13,51
2018-05-20,52
2018-05-27,67
2018-06-03,57
2018-06-10,41
2018-06-17,46
2018-06-24,48
2018-07-01,66
2018-07-08,54
2018-07-15,66
2018-07-22,68
2018-07-29,59
2018-08-05,53
2018-08-12,35
2018-08-19,52
2018-08-26,60
2018-09-02,62
2018-09-09,61
2018-09-16,68
2018-09-23,44
2018-09-30,72
2018-10-07,43
2018-10-14,58
2018-10-21,49
2018-10-28,67
2018-11-04,45
2018-11-11,65
2018-11-18,55
2018-11-25,48
2018-12-02,63
2018-12-09,58
2018-12-16,64
2018-12-23,72
2018-12-30,56
2019-01-06,50
2019-01-13,42
2019-01-20,68
2019-01-27,91
2019-02-03,83
2019-02-10,60
2019-02-17,89
2019-02-24,60
2019-03-03,70
2019-03-10,60
2019-03-17,59
2019-03-24,61
2019-03-31,64
2019-04-07,56
2019-04-14,62
2019-04-21,44
2019-04-28,50
2019-05-05,46
2019-05-12,51
2019-05-19,57
2019-05-26,69
2019-06-02,55
2019-06-09,75
2019-06-16,47
2019-06-23,67
2019-06-30,58
2019-07-07,72
2019-07-14,73
2019-07-21,59
2019-07-28,61
2019-08-04,70
2019-08-11,57
2019-08-18,62
2019-08-25,59
2019-09-01,75
2019-09-08,64
2019-09-15,47
2019-09-22,61
2019-09-29,86
2019-10-06,73
2019-10-13,54
2019-10-20,71
2019-10-27,65
2019-11-03,36
2019-11-10,68
2019-11-17,73
2019-11-24,51
2019-12-01,88
2019-12-08,53
2019-12-15,82
2019-12-22,68
2019-12-29,65
2020-01-05,78
2020-01-12,54
2020-01-19,64
2020-01-26,96
2020-02-02,78
2020-02-09,53
2020-02-16,56
2020-02-23,70
2020-03-01,68
2020-03-08,66
2020-03-15,54
2020-03-22,71
2020-03-29,69
2020-04-05,57
2020-04-12,59
2020-04-19,88
2020-04-26,83
2020-05-03,77
2020-05-10,92
2020-05-17,78
2020-05-24,91
2020-05-31,45
2020-06-07,69
2020-06-14,61
2020-06-21,54
2020-06-28,82
2020-07-05,59
2020-07-12,50
2020-07-19,100
2020-07-26,92
2020-08-02,64
2020-08-09,66
2020-08-16,74
2020-08-23,93
2020-08-30,81
2020-09-06,60
2020-09-13,72
2020-09-20,75
2020-09-27,85
2020-10-04,57
2020-10-11,61
2020-10-18,73
2020-10-25,82
2020-11-01,86
2020-11-08,63
2020-11-15,68
2020-11-22,77
2020-11-29,79
2020-12-06,67
2020-12-13,73
2020-12-20,75
2020-12-27,58
