date,Crafts_IL
2020-03-15,37
2020-03-22,92
2020-03-29,61
2020-04-05,25
2020-04-12,89
2020-04-19,68
2020-04-26,100
2020-05-03,67
2020-05-10,23
2020-05-17,38
2020-05-24,33
2020-05-31,59
2020-06-07,51
2020-06-14,31
2020-06-21,54
2020-06-28,23
2020-07-05,39
2020-07-12,71
2020-07-19,47
2020-07-26,47
2020-08-02,54
2020-08-09,39
2020-08-16,40
2020-08-23,72
2020-08-30,55
2020-09-06,47
2020-09-13,31
2020-09-20,30
2020-09-27,76
2020-10-04,49
2020-10-11,58
2020-10-18,42
2020-10-25,33
2020-11-01,24
2020-11-08,32
2020-11-15,49
2020-11-22,25
2020-11-29,0
2020-12-06,25
2020-12-13,89
2020-12-20,67
2020-12-27,50
2021-01-03,33
2021-01-10,95
2021-01-17,81
2021-01-24,49
2021-01-31,32
2021-02-07,16
2021-02-14,65
2021-02-21,51
2021-02-28,34
2021-03-07,17
2021-03-14,24
2021-03-21,61
2021-03-28,44
2021-04-04,89
2021-04-11,17
2021-04-18,57
2021-04-25,49
2021-05-02,50
2021-05-09,48
2021-05-16,42
2021-05-23,26
2021-05-30,34
2021-06-06,34
2021-06-13,25
2021-06-20,26
2021-06-27,34
2021-07-04,51
2021-07-11,42
2021-07-18,26
2021-07-25,69
2021-08-01,26
2021-08-08,35
2021-08-15,42
2021-08-22,28
2021-08-29,73
