date,Music_FR
2020-03-15,56
2020-03-22,69
2020-03-29,70
2020-04-05,70
2020-04-12,72
2020-04-19,65
2020-04-26,65
2020-05-03,63
2020-05-10,57
2020-05-17,59
2020-05-24,57
2020-05-31,55
2020-06-07,58
2020-06-14,82
2020-06-21,82
2020-06-28,55
2020-07-05,55
2020-07-12,55
2020-07-19,53
2020-07-26,54
2020-08-02,54
2020-08-09,53
2020-08-16,55
2020-08-23,53
2020-08-30,54
2020-09-06,56
2020-09-13,56
2020-09-20,55
2020-09-27,54
2020-10-04,57
2020-10-11,55
2020-10-18,56
2020-10-25,53
2020-11-01,53
2020-11-08,62
2020-11-15,58
2020-11-22,61
2020-11-29,59
2020-12-06,58
2020-12-13,58
2020-12-20,70
2020-12-27,69
2021-01-03,51
2021-01-10,56
2021-01-17,54
2021-01-24,56
2021-01-31,55
2021-02-07,64
2021-02-14,58
2021-02-21,55
2021-02-28,53
2021-03-07,53
2021-03-14,53
2021-03-21,51
2021-03-28,50
2021-04-04,53
2021-04-11,52
2021-04-18,53
2021-04-25,55
2021-05-02,51
2021-05-09,53
2021-05-16,53
2021-05-23,53
2021-05-30,50
2021-06-06,55
2021-06-13,66
2021-06-20,100
2021-06-27,48
2021-07-04,52
2021-07-11,49
2021-07-18,50
2021-07-25,51
2021-08-01,50
2021-08-08,51
2021-08-15,53
2021-08-22,53
2021-08-29,52
