date,Music_EG
2018-01-07,74
2018-01-14,80
2018-01-21,75
2018-01-28,80
2018-02-04,81
2018-02-11,72
2018-02-18,80
2018-02-25,92
2018-03-04,100
2018-03-11,86
2018-03-18,83
2018-03-25,79
2018-04-01,83
2018-04-08,80
2018-04-15,84
2018-04-22,73
2018-04-29,72
2018-05-06,73
2018-05-13,79
2018-05-20,67
2018-05-27,57
2018-06-03,59
2018-06-10,63
2018-06-17,66
2018-06-24,67
2018-07-01,69
2018-07-08,69
2018-07-15,69
2018-07-22,77
2018-07-29,72
2018-08-05,79
2018-08-12,74
2018-08-19,85
2018-08-26,79
2018-09-02,74
2018-09-09,82
2018-09-16,75
2018-09-23,74
2018-09-30,83
2018-10-07,82
2018-10-14,85
2018-10-21,78
2018-10-28,83
2018-11-04,88
2018-11-11,74
2018-11-18,80
2018-11-25,70
2018-12-02,79
2018-12-09,84
2018-12-16,78
2018-12-23,83
2018-12-30,73
2019-01-06,76
2019-01-13,73
2019-01-20,74
2019-01-27,69
2019-02-03,70
2019-02-10,71
2019-02-17,78
2019-02-24,70
2019-03-03,66
2019-03-10,74
2019-03-17,77
2019-03-24,80
2019-03-31,68
2019-04-07,68
2019-04-14,72
2019-04-21,70
2019-04-28,66
2019-05-05,68
2019-05-12,66
2019-05-19,59
2019-05-26,57
2019-06-02,81
2019-06-09,69
2019-06-16,73
2019-06-23,60
2019-06-30,68
2019-07-07,76
2019-07-14,79
2019-07-21,76
2019-07-28,77
2019-08-04,70
2019-08-11,72
2019-08-18,78
2019-08-25,76
2019-09-01,77
2019-09-08,73
2019-09-15,72
2019-09-22,78
2019-09-29,61
2019-10-06,73
2019-10-13,72
2019-10-20,68
2019-10-27,79
2019-11-03,84
2019-11-10,69
2019-11-17,63
2019-11-24,64
2019-12-01,73
2019-12-08,71
2019-12-15,73
2019-12-22,69
2019-12-29,62
2020-01-05,67
2020-01-12,68
2020-01-19,67
2020-01-26,66
2020-02-02,62
2020-02-09,67
2020-02-16,75
2020-02-23,64
2020-03-01,64
2020-03-08,61
