date,Arts_CO
2020-03-15,69
2020-03-22,68
2020-03-29,72
2020-04-05,53
2020-04-12,70
2020-04-19,100
2020-04-26,97
2020-05-03,96
2020-05-10,85
2020-05-17,95
2020-05-24,92
2020-05-31,83
2020-06-07,78
2020-06-14,69
2020-06-21,70
2020-06-28,61
2020-07-05,70
2020-07-12,71
2020-07-19,74
2020-07-26,79
2020-08-02,76
2020-08-09,75
2020-08-16,81
2020-08-23,82
2020-08-30,84
2020-09-06,81
2020-09-13,79
2020-09-20,74
2020-09-27,74
2020-10-04,62
2020-10-11,70
2020-10-18,65
2020-10-25,74
2020-11-01,69
2020-11-08,67
2020-11-15,63
2020-11-22,63
2020-11-29,51
2020-12-06,36
2020-12-13,31
2020-12-20,28
2020-12-27,32
2021-01-03,32
2021-01-10,38
2021-01-17,52
2021-01-24,51
2021-01-31,72
2021-02-07,92
2021-02-14,97
2021-02-21,94
2021-02-28,90
2021-03-07,87
2021-03-14,84
2021-03-21,81
2021-03-28,49
2021-04-04,79
2021-04-11,83
2021-04-18,82
2021-04-25,75
2021-05-02,68
2021-05-09,77
2021-05-16,66
2021-05-23,71
2021-05-30,61
2021-06-06,56
2021-06-13,57
2021-06-20,50
2021-06-27,46
2021-07-04,49
2021-07-11,59
2021-07-18,68
2021-07-25,79
2021-08-01,78
2021-08-08,74
2021-08-15,72
2021-08-22,69
2021-08-29,74
