date,Crafts_IR
2020-03-15,16
2020-03-22,63
2020-03-29,69
2020-04-05,87
2020-04-12,51
2020-04-19,87
2020-04-26,98
2020-05-03,91
2020-05-10,64
2020-05-17,58
2020-05-24,45
2020-05-31,75
2020-06-07,37
2020-06-14,71
2020-06-21,61
2020-06-28,37
2020-07-05,30
2020-07-12,38
2020-07-19,60
2020-07-26,45
2020-08-02,54
2020-08-09,59
2020-08-16,68
2020-08-23,88
2020-08-30,16
2020-09-06,66
2020-09-13,56
2020-09-20,48
2020-09-27,54
2020-10-04,33
2020-10-11,48
2020-10-18,65
2020-10-25,54
2020-11-01,50
2020-11-08,50
2020-11-15,31
2020-11-22,36
2020-11-29,36
2020-12-06,66
2020-12-13,72
2020-12-20,24
2020-12-27,60
2021-01-03,55
2021-01-10,37
2021-01-17,82
2021-01-24,12
2021-01-31,60
2021-02-07,87
2021-02-14,30
2021-02-21,62
2021-02-28,66
2021-03-07,50
2021-03-14,54
2021-03-21,40
2021-03-28,67
2021-04-04,68
2021-04-11,100
2021-04-18,70
2021-04-25,35
2021-05-02,82
2021-05-09,48
2021-05-16,79
2021-05-23,38
2021-05-30,59
2021-06-06,59
2021-06-13,87
2021-06-20,75
2021-06-27,54
2021-07-04,41
2021-07-11,20
2021-07-18,63
2021-07-25,41
2021-08-01,84
2021-08-08,86
2021-08-15,48
2021-08-22,68
2021-08-29,80
