date,Sports_DK
2018-01-07,75
2018-01-14,68
2018-01-21,84
2018-01-28,77
2018-02-04,61
2018-02-11,74
2018-02-18,78
2018-02-25,67
2018-03-04,66
2018-03-11,69
2018-03-18,66
2018-03-25,67
2018-04-01,73
2018-04-08,64
2018-04-15,69
2018-04-22,68
2018-04-29,73
2018-05-06,79
2018-05-13,69
2018-05-20,66
2018-05-27,61
2018-06-03,65
2018-06-10,71
2018-06-17,70
2018-06-24,70
2018-07-01,80
2018-07-08,71
2018-07-15,60
2018-07-22,63
2018-07-29,66
2018-08-05,67
2018-08-12,62
2018-08-19,67
2018-08-26,80
2018-09-02,83
2018-09-09,56
2018-09-16,69
2018-09-23,64
2018-09-30,68
2018-10-07,74
2018-10-14,61
2018-10-21,62
2018-10-28,58
2018-11-04,66
2018-11-11,65
2018-11-18,66
2018-11-25,64
2018-12-02,65
2018-12-09,74
2018-12-16,61
2018-12-23,52
2018-12-30,74
2019-01-06,64
2019-01-13,84
2019-01-20,89
2019-01-27,84
2019-02-03,84
2019-02-10,89
2019-02-17,90
2019-02-24,78
2019-03-03,82
2019-03-10,95
2019-03-17,85
2019-03-24,100
2019-03-31,74
2019-04-07,67
2019-04-14,71
2019-04-21,75
2019-04-28,66
2019-05-05,72
2019-05-12,65
2019-05-19,59
2019-05-26,66
2019-06-02,62
2019-06-09,61
2019-06-16,62
2019-06-23,63
2019-06-30,69
2019-07-07,75
2019-07-14,67
2019-07-21,73
2019-07-28,58
2019-08-04,87
2019-08-11,60
2019-08-18,67
2019-08-25,78
2019-09-01,68
2019-09-08,71
2019-09-15,73
2019-09-22,72
2019-09-29,71
2019-10-06,76
2019-10-13,70
2019-10-20,70
2019-10-27,72
2019-11-03,66
2019-11-10,70
2019-11-17,64
2019-11-24,78
2019-12-01,73
2019-12-08,76
2019-12-15,76
2019-12-22,63
2019-12-29,68
2020-01-05,80
2020-01-12,77
2020-01-19,78
2020-01-26,66
2020-02-02,66
2020-02-09,68
2020-02-16,84
2020-02-23,72
2020-03-01,81
2020-03-08,64
