date,Arts_NG
2020-03-15,92
2020-03-22,71
2020-03-29,57
2020-04-05,62
2020-04-12,60
2020-04-19,46
2020-04-26,69
2020-05-03,49
2020-05-10,82
2020-05-17,74
2020-05-24,72
2020-05-31,57
2020-06-07,58
2020-06-14,71
2020-06-21,59
2020-06-28,63
2020-07-05,59
2020-07-12,61
2020-07-19,65
2020-07-26,60
2020-08-02,71
2020-08-09,61
2020-08-16,75
2020-08-23,80
2020-08-30,73
2020-09-06,60
2020-09-13,66
2020-09-20,75
2020-09-27,62
2020-10-04,71
2020-10-11,95
2020-10-18,71
2020-10-25,60
2020-11-01,85
2020-11-08,82
2020-11-15,85
2020-11-22,80
2020-11-29,68
2020-12-06,69
2020-12-13,63
2020-12-20,42
2020-12-27,63
2021-01-03,59
2021-01-10,70
2021-01-17,94
2021-01-24,85
2021-01-31,75
2021-02-07,84
2021-02-14,78
2021-02-21,91
2021-02-28,89
2021-03-07,73
2021-03-14,78
2021-03-21,80
2021-03-28,75
2021-04-04,73
2021-04-11,76
2021-04-18,82
2021-04-25,96
2021-05-02,100
2021-05-09,87
2021-05-16,86
2021-05-23,79
2021-05-30,83
2021-06-06,72
2021-06-13,83
2021-06-20,90
2021-06-27,95
2021-07-04,78
2021-07-11,81
2021-07-18,72
2021-07-25,72
2021-08-01,73
2021-08-08,77
2021-08-15,70
2021-08-22,60
2021-08-29,74
