date,Arts_IE
2020-03-15,71
2020-03-22,68
2020-03-29,90
2020-04-05,76
2020-04-12,69
2020-04-19,86
2020-04-26,91
2020-05-03,79
2020-05-10,83
2020-05-17,75
2020-05-24,68
2020-05-31,78
2020-06-07,72
2020-06-14,64
2020-06-21,57
2020-06-28,72
2020-07-05,68
2020-07-12,61
2020-07-19,58
2020-07-26,60
2020-08-02,68
2020-08-09,75
2020-08-16,58
2020-08-23,56
2020-08-30,77
2020-09-06,90
2020-09-13,83
2020-09-20,89
2020-09-27,90
2020-10-04,99
2020-10-11,86
2020-10-18,85
2020-10-25,81
2020-11-01,89
2020-11-08,94
2020-11-15,100
2020-11-22,93
2020-11-29,89
2020-12-06,87
2020-12-13,82
2020-12-20,58
2020-12-27,51
2021-01-03,65
2021-01-10,91
2021-01-17,96
2021-01-24,86
2021-01-31,89
2021-02-07,86
2021-02-14,79
2021-02-21,68
2021-02-28,88
2021-03-07,88
2021-03-14,83
2021-03-21,89
2021-03-28,66
2021-04-04,66
2021-04-11,85
2021-04-18,88
2021-04-25,93
2021-05-02,88
2021-05-09,72
2021-05-16,95
2021-05-23,73
2021-05-30,74
2021-06-06,67
2021-06-13,62
2021-06-20,62
2021-06-27,53
2021-07-04,69
2021-07-11,63
2021-07-18,56
2021-07-25,56
2021-08-01,55
2021-08-08,61
2021-08-15,60
2021-08-22,62
2021-08-29,85
