date,Pets_IE
2020-03-15,62
2020-03-22,58
2020-03-29,59
2020-04-05,71
2020-04-12,77
2020-04-19,67
2020-04-26,70
2020-05-03,68
2020-05-10,73
2020-05-17,67
2020-05-24,75
2020-05-31,72
2020-06-07,68
2020-06-14,70
2020-06-21,73
2020-06-28,77
2020-07-05,68
2020-07-12,85
2020-07-19,93
2020-07-26,75
2020-08-02,93
2020-08-09,78
2020-08-16,74
2020-08-23,76
2020-08-30,67
2020-09-06,64
2020-09-13,72
2020-09-20,69
2020-09-27,67
2020-10-04,62
2020-10-11,62
2020-10-18,58
2020-10-25,74
2020-11-01,58
2020-11-08,58
2020-11-15,66
2020-11-22,68
2020-11-29,72
2020-12-06,60
2020-12-13,52
2020-12-20,72
2020-12-27,81
2021-01-03,78
2021-01-10,76
2021-01-17,63
2021-01-24,78
2021-01-31,84
2021-02-07,72
2021-02-14,77
2021-02-21,70
2021-02-28,70
2021-03-07,75
2021-03-14,85
2021-03-21,77
2021-03-28,79
2021-04-04,71
2021-04-11,74
2021-04-18,78
2021-04-25,63
2021-05-02,71
2021-05-09,89
2021-05-16,75
2021-05-23,80
2021-05-30,100
2021-06-06,79
2021-06-13,78
2021-06-20,80
2021-06-27,69
2021-07-04,67
2021-07-11,86
2021-07-18,79
2021-07-25,77
2021-08-01,74
2021-08-08,83
2021-08-15,78
2021-08-22,86
2021-08-29,70
