date,Arts_PK
2020-03-15,73
2020-03-22,56
2020-03-29,68
2020-04-05,72
2020-04-12,65
2020-04-19,76
2020-04-26,62
2020-05-03,75
2020-05-10,73
2020-05-17,76
2020-05-24,51
2020-05-31,61
2020-06-07,81
2020-06-14,81
2020-06-21,73
2020-06-28,86
2020-07-05,80
2020-07-12,74
2020-07-19,71
2020-07-26,60
2020-08-02,63
2020-08-09,73
2020-08-16,78
2020-08-23,67
2020-08-30,73
2020-09-06,81
2020-09-13,80
2020-09-20,95
2020-09-27,100
2020-10-04,73
2020-10-11,87
2020-10-18,89
2020-10-25,84
2020-11-01,69
2020-11-08,80
2020-11-15,73
2020-11-22,87
2020-11-29,79
2020-12-06,80
2020-12-13,68
2020-12-20,65
2020-12-27,61
2021-01-03,69
2021-01-10,74
2021-01-17,68
2021-01-24,71
2021-01-31,81
2021-02-07,74
2021-02-14,64
2021-02-21,72
2021-02-28,71
2021-03-07,71
2021-03-14,77
2021-03-21,68
2021-03-28,68
2021-04-04,77
2021-04-11,60
2021-04-18,84
2021-04-25,75
2021-05-02,69
2021-05-09,51
2021-05-16,65
2021-05-23,79
2021-05-30,79
2021-06-06,74
2021-06-13,68
2021-06-20,66
2021-06-27,70
2021-07-04,70
2021-07-11,66
2021-07-18,49
2021-07-25,70
2021-08-01,88
2021-08-08,72
2021-08-15,74
2021-08-22,84
2021-08-29,79
