date,Performing_Art_US
2020-03-15,55
2020-03-22,71
2020-03-29,61
2020-04-05,61
2020-04-12,52
2020-04-19,61
2020-04-26,64
2020-05-03,63
2020-05-10,51
2020-05-17,55
2020-05-24,47
2020-05-31,63
2020-06-07,59
2020-06-14,44
2020-06-21,57
2020-06-28,55
2020-07-05,53
2020-07-12,49
2020-07-19,65
2020-07-26,65
2020-08-02,64
2020-08-09,65
2020-08-16,66
2020-08-23,68
2020-08-30,84
2020-09-06,69
2020-09-13,77
2020-09-20,67
2020-09-27,65
2020-10-04,66
2020-10-11,70
2020-10-18,65
2020-10-25,71
2020-11-01,54
2020-11-08,59
2020-11-15,53
2020-11-22,41
2020-11-29,49
2020-12-06,52
2020-12-13,51
2020-12-20,34
2020-12-27,45
2021-01-03,71
2021-01-10,53
2021-01-17,80
2021-01-24,60
2021-01-31,69
2021-02-07,78
2021-02-14,56
2021-02-21,70
2021-02-28,72
2021-03-07,69
2021-03-14,69
2021-03-21,57
2021-03-28,63
2021-04-04,68
2021-04-11,68
2021-04-18,71
2021-04-25,65
2021-05-02,96
2021-05-09,93
2021-05-16,83
2021-05-23,75
2021-05-30,77
2021-06-06,98
2021-06-13,92
2021-06-20,78
2021-06-27,73
2021-07-04,65
2021-07-11,92
2021-07-18,76
2021-07-25,90
2021-08-01,91
2021-08-08,86
2021-08-15,80
2021-08-22,94
2021-08-29,100
