date,Learning_BD
2020-03-15,46
2020-03-22,76
2020-03-29,83
2020-04-05,82
2020-04-12,83
2020-04-19,100
2020-04-26,96
2020-05-03,99
2020-05-10,77
2020-05-17,72
2020-05-24,73
2020-05-31,74
2020-06-07,79
2020-06-14,82
2020-06-21,98
2020-06-28,79
2020-07-05,74
2020-07-12,91
2020-07-19,77
2020-07-26,69
2020-08-02,54
2020-08-09,71
2020-08-16,72
2020-08-23,75
2020-08-30,81
2020-09-06,69
2020-09-13,93
2020-09-20,72
2020-09-27,66
2020-10-04,61
2020-10-11,63
2020-10-18,68
2020-10-25,65
2020-11-01,63
2020-11-08,67
2020-11-15,78
2020-11-22,85
2020-11-29,66
2020-12-06,67
2020-12-13,68
2020-12-20,64
2020-12-27,73
2021-01-03,59
2021-01-10,58
2021-01-17,65
2021-01-24,65
2021-01-31,54
2021-02-07,60
2021-02-14,64
2021-02-21,70
2021-02-28,70
2021-03-07,61
2021-03-14,72
2021-03-21,66
2021-03-28,51
2021-04-04,69
2021-04-11,63
2021-04-18,71
2021-04-25,75
2021-05-02,70
2021-05-09,51
2021-05-16,58
2021-05-23,78
2021-05-30,72
2021-06-06,71
2021-06-13,61
2021-06-20,64
2021-06-27,78
2021-07-04,72
2021-07-11,70
2021-07-18,57
2021-07-25,58
2021-08-01,66
2021-08-08,59
2021-08-15,67
2021-08-22,61
2021-08-29,63
