date,Music_TH
2020-03-15,62
2020-03-22,58
2020-03-29,67
2020-04-05,62
2020-04-12,63
2020-04-19,59
2020-04-26,59
2020-05-03,61
2020-05-10,68
2020-05-17,92
2020-05-24,100
2020-05-31,78
2020-06-07,73
2020-06-14,76
2020-06-21,81
2020-06-28,77
2020-07-05,83
2020-07-12,90
2020-07-19,90
2020-07-26,81
2020-08-02,88
2020-08-09,89
2020-08-16,92
2020-08-23,90
2020-08-30,79
2020-09-06,87
2020-09-13,86
2020-09-20,87
2020-09-27,83
2020-10-04,83
2020-10-11,81
2020-10-18,79
2020-10-25,88
2020-11-01,78
2020-11-08,83
2020-11-15,60
2020-11-22,67
2020-11-29,77
2020-12-06,82
2020-12-13,87
2020-12-20,81
2020-12-27,62
2021-01-03,77
2021-01-10,81
2021-01-17,90
2021-01-24,79
2021-01-31,78
2021-02-07,74
2021-02-14,73
2021-02-21,81
2021-02-28,71
2021-03-07,74
2021-03-14,80
2021-03-21,78
2021-03-28,75
2021-04-04,53
2021-04-11,52
2021-04-18,58
2021-04-25,56
2021-05-02,50
2021-05-09,62
2021-05-16,56
2021-05-23,57
2021-05-30,75
2021-06-06,78
2021-06-13,78
2021-06-20,82
2021-06-27,79
2021-07-04,84
2021-07-11,82
2021-07-18,84
2021-07-25,81
2021-08-01,90
2021-08-08,84
2021-08-15,84
2021-08-22,89
2021-08-29,81
