date,Pets_IN
2020-03-15,41
2020-03-22,42
2020-03-29,43
2020-04-05,49
2020-04-12,42
2020-04-19,47
2020-04-26,47
2020-05-03,50
2020-05-10,50
2020-05-17,49
2020-05-24,51
2020-05-31,53
2020-06-07,54
2020-06-14,63
2020-06-21,61
2020-06-28,58
2020-07-05,57
2020-07-12,54
2020-07-19,59
2020-07-26,57
2020-08-02,54
2020-08-09,54
2020-08-16,60
2020-08-23,65
2020-08-30,58
2020-09-06,57
2020-09-13,61
2020-09-20,59
2020-09-27,54
2020-10-04,55
2020-10-11,52
2020-10-18,50
2020-10-25,54
2020-11-01,52
2020-11-08,53
2020-11-15,62
2020-11-22,60
2020-11-29,56
2020-12-06,60
2020-12-13,62
2020-12-20,58
2020-12-27,61
2021-01-03,60
2021-01-10,57
2021-01-17,59
2021-01-24,58
2021-01-31,54
2021-02-07,53
2021-02-14,60
2021-02-21,63
2021-02-28,56
2021-03-07,60
2021-03-14,59
2021-03-21,56
2021-03-28,56
2021-04-04,57
2021-04-11,57
2021-04-18,57
2021-04-25,52
2021-05-02,61
2021-05-09,60
2021-05-16,64
2021-05-23,69
2021-05-30,71
2021-06-06,73
2021-06-13,80
2021-06-20,85
2021-06-27,72
2021-07-04,76
2021-07-11,71
2021-07-18,72
2021-07-25,66
2021-08-01,68
2021-08-08,75
2021-08-15,73
2021-08-22,100
2021-08-29,74
