date,Music_IN
2018-01-07,66
2018-01-14,67
2018-01-21,69
2018-01-28,66
2018-02-04,64
2018-02-11,67
2018-02-18,66
2018-02-25,70
2018-03-04,64
2018-03-11,66
2018-03-18,69
2018-03-25,70
2018-04-01,65
2018-04-08,64
2018-04-15,68
2018-04-22,66
2018-04-29,67
2018-05-06,67
2018-05-13,67
2018-05-20,68
2018-05-27,70
2018-06-03,68
2018-06-10,71
2018-06-17,75
2018-06-24,71
2018-07-01,70
2018-07-08,71
2018-07-15,79
2018-07-22,81
2018-07-29,85
2018-08-05,84
2018-08-12,84
2018-08-19,84
2018-08-26,89
2018-09-02,86
2018-09-09,84
2018-09-16,88
2018-09-23,87
2018-09-30,96
2018-10-07,95
2018-10-14,100
2018-10-21,86
2018-10-28,86
2018-11-04,95
2018-11-11,87
2018-11-18,89
2018-11-25,88
2018-12-02,89
2018-12-09,88
2018-12-16,91
2018-12-23,90
2018-12-30,88
2019-01-06,90
2019-01-13,91
2019-01-20,88
2019-01-27,86
2019-02-03,85
2019-02-10,81
2019-02-17,80
2019-02-24,73
2019-03-03,78
2019-03-10,80
2019-03-17,85
2019-03-24,75
2019-03-31,76
2019-04-07,76
2019-04-14,74
2019-04-21,72
2019-04-28,74
2019-05-05,73
2019-05-12,74
2019-05-19,69
2019-05-26,70
2019-06-02,65
2019-06-09,64
2019-06-16,68
2019-06-23,67
2019-06-30,63
2019-07-07,63
2019-07-14,67
2019-07-21,67
2019-07-28,68
2019-08-04,65
2019-08-11,70
2019-08-18,68
2019-08-25,67
2019-09-01,72
2019-09-08,66
2019-09-15,77
2019-09-22,79
2019-09-29,75
2019-10-06,80
2019-10-13,81
2019-10-20,81
2019-10-27,96
2019-11-03,82
2019-11-10,82
2019-11-17,81
2019-11-24,80
2019-12-01,76
2019-12-08,73
2019-12-15,66
2019-12-22,71
2019-12-29,70
2020-01-05,64
2020-01-12,67
2020-01-19,68
2020-01-26,66
2020-02-02,63
2020-02-09,62
2020-02-16,64
2020-02-23,62
2020-03-01,60
2020-03-08,60
