date,Arts_PE
2020-03-15,28
2020-03-22,37
2020-03-29,44
2020-04-05,39
2020-04-12,56
2020-04-19,75
2020-04-26,65
2020-05-03,67
2020-05-10,55
2020-05-17,53
2020-05-24,59
2020-05-31,64
2020-06-07,59
2020-06-14,83
2020-06-21,94
2020-06-28,63
2020-07-05,57
2020-07-12,84
2020-07-19,74
2020-07-26,40
2020-08-02,53
2020-08-09,51
2020-08-16,55
2020-08-23,57
2020-08-30,56
2020-09-06,49
2020-09-13,62
2020-09-20,68
2020-09-27,65
2020-10-04,63
2020-10-11,56
2020-10-18,54
2020-10-25,54
2020-11-01,63
2020-11-08,62
2020-11-15,88
2020-11-22,100
2020-11-29,88
2020-12-06,84
2020-12-13,91
2020-12-20,47
2020-12-27,32
2021-01-03,34
2021-01-10,30
2021-01-17,31
2021-01-24,28
2021-01-31,29
2021-02-07,31
2021-02-14,29
2021-02-21,31
2021-02-28,29
2021-03-07,40
2021-03-14,65
2021-03-21,81
2021-03-28,58
2021-04-04,58
2021-04-11,61
2021-04-18,67
2021-04-25,78
2021-05-02,82
2021-05-09,85
2021-05-16,51
2021-05-23,55
2021-05-30,48
2021-06-06,38
2021-06-13,53
2021-06-20,60
2021-06-27,59
2021-07-04,49
2021-07-11,61
2021-07-18,68
2021-07-25,43
2021-08-01,33
2021-08-08,68
2021-08-15,52
2021-08-22,59
2021-08-29,56
