date,Crafts_US
2018-01-07,63
2018-01-14,63
2018-01-21,65
2018-01-28,66
2018-02-04,67
2018-02-11,66
2018-02-18,61
2018-02-25,62
2018-03-04,63
2018-03-11,62
2018-03-18,63
2018-03-25,62
2018-04-01,58
2018-04-08,60
2018-04-15,59
2018-04-22,58
2018-04-29,63
2018-05-06,72
2018-05-13,57
2018-05-20,56
2018-05-27,59
2018-06-03,61
2018-06-10,67
2018-06-17,62
2018-06-24,56
2018-07-01,57
2018-07-08,59
2018-07-15,59
2018-07-22,58
2018-07-29,56
2018-08-05,60
2018-08-12,61
2018-08-19,55
2018-08-26,61
2018-09-02,62
2018-09-09,62
2018-09-16,65
2018-09-23,67
2018-09-30,74
2018-10-07,80
2018-10-14,78
2018-10-21,79
2018-10-28,91
2018-11-04,93
2018-11-11,100
2018-11-18,93
2018-11-25,100
2018-12-02,97
2018-12-09,89
2018-12-16,79
2018-12-23,57
2018-12-30,63
2019-01-06,63
2019-01-13,64
2019-01-20,61
2019-01-27,63
2019-02-03,66
2019-02-10,68
2019-02-17,57
2019-02-24,63
2019-03-03,63
2019-03-10,65
2019-03-17,62
2019-03-24,58
2019-03-31,62
2019-04-07,60
2019-04-14,58
2019-04-21,57
2019-04-28,64
2019-05-05,69
2019-05-12,55
2019-05-19,56
2019-05-26,56
2019-06-02,61
2019-06-09,68
2019-06-16,61
2019-06-23,60
2019-06-30,59
2019-07-07,56
2019-07-14,58
2019-07-21,60
2019-07-28,57
2019-08-04,57
2019-08-11,60
2019-08-18,56
2019-08-25,59
2019-09-01,61
2019-09-08,61
2019-09-15,66
2019-09-22,67
2019-09-29,76
2019-10-06,78
2019-10-13,81
2019-10-20,78
2019-10-27,81
2019-11-03,91
2019-11-10,90
2019-11-17,94
2019-11-24,83
2019-12-01,95
2019-12-08,90
2019-12-15,79
2019-12-22,61
2019-12-29,63
2020-01-05,61
2020-01-12,64
2020-01-19,60
2020-01-26,59
2020-02-02,65
2020-02-09,69
2020-02-16,58
2020-02-23,57
2020-03-01,59
2020-03-08,54
