date,Game_ZA
2020-03-15,24
2020-03-22,31
2020-03-29,34
2020-04-05,31
2020-04-12,30
2020-04-19,29
2020-04-26,86
2020-05-03,100
2020-05-10,31
2020-05-17,28
2020-05-24,27
2020-05-31,27
2020-06-07,27
2020-06-14,27
2020-06-21,29
2020-06-28,28
2020-07-05,27
2020-07-12,27
2020-07-19,24
2020-07-26,25
2020-08-02,24
2020-08-09,30
2020-08-16,28
2020-08-23,28
2020-08-30,32
2020-09-06,24
2020-09-13,23
2020-09-20,25
2020-09-27,23
2020-10-04,23
2020-10-11,23
2020-10-18,26
2020-10-25,25
2020-11-01,24
2020-11-08,25
2020-11-15,24
2020-11-22,30
2020-11-29,27
2020-12-06,26
2020-12-13,28
2020-12-20,31
2020-12-27,29
2021-01-03,26
2021-01-10,26
2021-01-17,26
2021-01-24,26
2021-01-31,25
2021-02-07,25
2021-02-14,24
2021-02-21,24
2021-02-28,25
2021-03-07,23
2021-03-14,22
2021-03-21,23
2021-03-28,23
2021-04-04,24
2021-04-11,22
2021-04-18,24
2021-04-25,27
2021-05-02,25
2021-05-09,24
2021-05-16,24
2021-05-23,23
2021-05-30,23
2021-06-06,22
2021-06-13,25
2021-06-20,25
2021-06-27,24
2021-07-04,24
2021-07-11,27
2021-07-18,27
2021-07-25,25
2021-08-01,25
2021-08-08,24
2021-08-15,24
2021-08-22,24
2021-08-29,23
