date,Sports_SE
2020-03-15,36
2020-03-22,38
2020-03-29,36
2020-04-05,33
2020-04-12,34
2020-04-19,34
2020-04-26,34
2020-05-03,40
2020-05-10,40
2020-05-17,33
2020-05-24,40
2020-05-31,41
2020-06-07,37
2020-06-14,58
2020-06-21,55
2020-06-28,57
2020-07-05,54
2020-07-12,60
2020-07-19,55
2020-07-26,58
2020-08-02,60
2020-08-09,57
2020-08-16,64
2020-08-23,54
2020-08-30,57
2020-09-06,60
2020-09-13,68
2020-09-20,69
2020-09-27,64
2020-10-04,73
2020-10-11,69
2020-10-18,68
2020-10-25,57
2020-11-01,50
2020-11-08,56
2020-11-15,57
2020-11-22,62
2020-11-29,64
2020-12-06,58
2020-12-13,54
2020-12-20,54
2020-12-27,65
2021-01-03,72
2021-01-10,59
2021-01-17,65
2021-01-24,72
2021-01-31,59
2021-02-07,74
2021-02-14,70
2021-02-21,71
2021-02-28,81
2021-03-07,62
2021-03-14,58
2021-03-21,66
2021-03-28,61
2021-04-04,68
2021-04-11,65
2021-04-18,63
2021-04-25,62
2021-05-02,61
2021-05-09,64
2021-05-16,58
2021-05-23,58
2021-05-30,55
2021-06-06,70
2021-06-13,100
2021-06-20,85
2021-06-27,90
2021-07-04,68
2021-07-11,70
2021-07-18,62
2021-07-25,65
2021-08-01,83
2021-08-08,70
2021-08-15,56
2021-08-22,71
2021-08-29,69
