date,Pets_RO
2020-03-15,69
2020-03-22,63
2020-03-29,66
2020-04-05,88
2020-04-12,71
2020-04-19,60
2020-04-26,70
2020-05-03,54
2020-05-10,59
2020-05-17,75
2020-05-24,54
2020-05-31,75
2020-06-07,74
2020-06-14,59
2020-06-21,67
2020-06-28,48
2020-07-05,68
2020-07-12,82
2020-07-19,61
2020-07-26,72
2020-08-02,79
2020-08-09,49
2020-08-16,68
2020-08-23,72
2020-08-30,57
2020-09-06,58
2020-09-13,71
2020-09-20,68
2020-09-27,79
2020-10-04,41
2020-10-11,67
2020-10-18,66
2020-10-25,61
2020-11-01,58
2020-11-08,61
2020-11-15,76
2020-11-22,72
2020-11-29,70
2020-12-06,78
2020-12-13,72
2020-12-20,87
2020-12-27,62
2021-01-03,61
2021-01-10,66
2021-01-17,75
2021-01-24,54
2021-01-31,82
2021-02-07,100
2021-02-14,61
2021-02-21,81
2021-02-28,69
2021-03-07,72
2021-03-14,58
2021-03-21,73
2021-03-28,52
2021-04-04,60
2021-04-11,89
2021-04-18,65
2021-04-25,86
2021-05-02,77
2021-05-09,73
2021-05-16,77
2021-05-23,60
2021-05-30,67
2021-06-06,70
2021-06-13,74
2021-06-20,56
2021-06-27,49
2021-07-04,57
2021-07-11,74
2021-07-18,73
2021-07-25,70
2021-08-01,85
2021-08-08,83
2021-08-15,73
2021-08-22,53
2021-08-29,57
