date,Game_FR
2018-01-07,73
2018-01-14,75
2018-01-21,72
2018-01-28,74
2018-02-04,71
2018-02-11,80
2018-02-18,85
2018-02-25,79
2018-03-04,75
2018-03-11,71
2018-03-18,70
2018-03-25,70
2018-04-01,67
2018-04-08,69
2018-04-15,64
2018-04-22,65
2018-04-29,71
2018-05-06,71
2018-05-13,59
2018-05-20,67
2018-05-27,66
2018-06-03,68
2018-06-10,68
2018-06-17,65
2018-06-24,69
2018-07-01,61
2018-07-08,65
2018-07-15,63
2018-07-22,66
2018-07-29,70
2018-08-05,70
2018-08-12,70
2018-08-19,67
2018-08-26,67
2018-09-02,61
2018-09-09,59
2018-09-16,62
2018-09-23,61
2018-09-30,60
2018-10-07,63
2018-10-14,66
2018-10-21,78
2018-10-28,82
2018-11-04,72
2018-11-11,76
2018-11-18,78
2018-11-25,83
2018-12-02,81
2018-12-09,81
2018-12-16,83
2018-12-23,100
2018-12-30,83
2019-01-06,64
2019-01-13,65
2019-01-20,67
2019-01-27,66
2019-02-03,65
2019-02-10,66
2019-02-17,68
2019-02-24,68
2019-03-03,65
2019-03-10,62
2019-03-17,63
2019-03-24,60
2019-03-31,63
2019-04-07,65
2019-04-14,63
2019-04-21,64
2019-04-28,66
2019-05-05,62
2019-05-12,60
2019-05-19,60
2019-05-26,62
2019-06-02,58
2019-06-09,65
2019-06-16,61
2019-06-23,60
2019-06-30,62
2019-07-07,62
2019-07-14,62
2019-07-21,61
2019-07-28,64
2019-08-04,61
2019-08-11,70
2019-08-18,67
2019-08-25,63
2019-09-01,57
2019-09-08,59
2019-09-15,59
2019-09-22,59
2019-09-29,63
2019-10-06,63
2019-10-13,64
2019-10-20,75
2019-10-27,79
2019-11-03,71
2019-11-10,80
2019-11-17,78
2019-11-24,77
2019-12-01,80
2019-12-08,82
2019-12-15,79
2019-12-22,98
2019-12-29,87
2020-01-05,65
2020-01-12,65
2020-01-19,65
2020-01-26,66
2020-02-02,66
2020-02-09,67
2020-02-16,72
2020-02-23,70
2020-03-01,66
2020-03-08,64
