date,Pets_AE
2020-03-15,43
2020-03-22,53
2020-03-29,51
2020-04-05,56
2020-04-12,52
2020-04-19,70
2020-04-26,67
2020-05-03,63
2020-05-10,74
2020-05-17,70
2020-05-24,93
2020-05-31,79
2020-06-07,73
2020-06-14,73
2020-06-21,74
2020-06-28,79
2020-07-05,67
2020-07-12,58
2020-07-19,66
2020-07-26,80
2020-08-02,59
2020-08-09,88
2020-08-16,82
2020-08-23,66
2020-08-30,78
2020-09-06,70
2020-09-13,77
2020-09-20,62
2020-09-27,66
2020-10-04,72
2020-10-11,71
2020-10-18,84
2020-10-25,60
2020-11-01,66
2020-11-08,68
2020-11-15,86
2020-11-22,91
2020-11-29,85
2020-12-06,85
2020-12-13,79
2020-12-20,87
2020-12-27,75
2021-01-03,82
2021-01-10,97
2021-01-17,78
2021-01-24,80
2021-01-31,75
2021-02-07,80
2021-02-14,77
2021-02-21,76
2021-02-28,74
2021-03-07,66
2021-03-14,61
2021-03-21,76
2021-03-28,62
2021-04-04,68
2021-04-11,71
2021-04-18,86
2021-04-25,77
2021-05-02,96
2021-05-09,90
2021-05-16,86
2021-05-23,88
2021-05-30,76
2021-06-06,73
2021-06-13,81
2021-06-20,65
2021-06-27,85
2021-07-04,84
2021-07-11,93
2021-07-18,89
2021-07-25,84
2021-08-01,100
2021-08-08,80
2021-08-15,90
2021-08-22,66
2021-08-29,97
