date,Cooking_IL
2020-03-15,45
2020-03-22,49
2020-03-29,63
2020-04-05,100
2020-04-12,74
2020-04-19,74
2020-04-26,63
2020-05-03,66
2020-05-10,56
2020-05-17,46
2020-05-24,51
2020-05-31,44
2020-06-07,36
2020-06-14,47
2020-06-21,46
2020-06-28,46
2020-07-05,61
2020-07-12,39
2020-07-19,42
2020-07-26,42
2020-08-02,51
2020-08-09,58
2020-08-16,48
2020-08-23,44
2020-08-30,48
2020-09-06,45
2020-09-13,58
2020-09-20,48
2020-09-27,65
2020-10-04,62
2020-10-11,55
2020-10-18,36
2020-10-25,38
2020-11-01,46
2020-11-08,44
2020-11-15,48
2020-11-22,60
2020-11-29,44
2020-12-06,39
2020-12-13,46
2020-12-20,43
2020-12-27,47
2021-01-03,48
2021-01-10,49
2021-01-17,55
2021-01-24,50
2021-01-31,46
2021-02-07,43
2021-02-14,49
2021-02-21,38
2021-02-28,41
2021-03-07,38
2021-03-14,46
2021-03-21,67
2021-03-28,43
2021-04-04,39
2021-04-11,39
2021-04-18,37
2021-04-25,36
2021-05-02,45
2021-05-09,33
2021-05-16,45
2021-05-23,38
2021-05-30,43
2021-06-06,35
2021-06-13,39
2021-06-20,40
2021-06-27,36
2021-07-04,39
2021-07-11,40
2021-07-18,45
2021-07-25,33
2021-08-01,39
2021-08-08,40
2021-08-15,48
2021-08-22,38
2021-08-29,47
