date,Music_FI
2018-01-07,81
2018-01-14,84
2018-01-21,76
2018-01-28,80
2018-02-04,67
2018-02-11,71
2018-02-18,67
2018-02-25,71
2018-03-04,79
2018-03-11,76
2018-03-18,86
2018-03-25,73
2018-04-01,72
2018-04-08,79
2018-04-15,73
2018-04-22,84
2018-04-29,62
2018-05-06,78
2018-05-13,79
2018-05-20,80
2018-05-27,66
2018-06-03,67
2018-06-10,74
2018-06-17,73
2018-06-24,75
2018-07-01,69
2018-07-08,75
2018-07-15,69
2018-07-22,72
2018-07-29,77
2018-08-05,75
2018-08-12,78
2018-08-19,84
2018-08-26,87
2018-09-02,76
2018-09-09,88
2018-09-16,76
2018-09-23,98
2018-09-30,80
2018-10-07,78
2018-10-14,80
2018-10-21,73
2018-10-28,86
2018-11-04,100
2018-11-11,89
2018-11-18,92
2018-11-25,87
2018-12-02,80
2018-12-09,85
2018-12-16,77
2018-12-23,79
2018-12-30,76
2019-01-06,95
2019-01-13,86
2019-01-20,84
2019-01-27,89
2019-02-03,88
2019-02-10,83
2019-02-17,79
2019-02-24,75
2019-03-03,85
2019-03-10,83
2019-03-17,80
2019-03-24,96
2019-03-31,84
2019-04-07,61
2019-04-14,74
2019-04-21,76
2019-04-28,78
2019-05-05,68
2019-05-12,65
2019-05-19,67
2019-05-26,54
2019-06-02,60
2019-06-09,79
2019-06-16,72
2019-06-23,57
2019-06-30,60
2019-07-07,71
2019-07-14,67
2019-07-21,61
2019-07-28,71
2019-08-04,65
2019-08-11,76
2019-08-18,73
2019-08-25,66
2019-09-01,68
2019-09-08,73
2019-09-15,75
2019-09-22,78
2019-09-29,77
2019-10-06,72
2019-10-13,70
2019-10-20,68
2019-10-27,77
2019-11-03,75
2019-11-10,67
2019-11-17,77
2019-11-24,66
2019-12-01,78
2019-12-08,69
2019-12-15,62
2019-12-22,62
2019-12-29,70
2020-01-05,68
2020-01-12,78
2020-01-19,75
2020-01-26,80
2020-02-02,79
2020-02-09,72
2020-02-16,66
2020-02-23,68
2020-03-01,71
2020-03-08,63
