date,Learning_NO
2020-03-15,98
2020-03-22,72
2020-03-29,63
2020-04-05,60
2020-04-12,78
2020-04-19,72
2020-04-26,73
2020-05-03,88
2020-05-10,77
2020-05-17,70
2020-05-24,100
2020-05-31,61
2020-06-07,69
2020-06-14,69
2020-06-21,52
2020-06-28,52
2020-07-05,66
2020-07-12,58
2020-07-19,45
2020-07-26,56
2020-08-02,44
2020-08-09,70
2020-08-16,67
2020-08-23,81
2020-08-30,58
2020-09-06,96
2020-09-13,87
2020-09-20,85
2020-09-27,72
2020-10-04,65
2020-10-11,85
2020-10-18,86
2020-10-25,58
2020-11-01,66
2020-11-08,68
2020-11-15,82
2020-11-22,62
2020-11-29,68
2020-12-06,55
2020-12-13,52
2020-12-20,62
2020-12-27,54
2021-01-03,79
2021-01-10,76
2021-01-17,56
2021-01-24,83
2021-01-31,53
2021-02-07,88
2021-02-14,71
2021-02-21,59
2021-02-28,52
2021-03-07,67
2021-03-14,62
2021-03-21,63
2021-03-28,61
2021-04-04,69
2021-04-11,51
2021-04-18,63
2021-04-25,61
2021-05-02,81
2021-05-09,69
2021-05-16,64
2021-05-23,66
2021-05-30,54
2021-06-06,72
2021-06-13,38
2021-06-20,44
2021-06-27,47
2021-07-04,53
2021-07-11,51
2021-07-18,44
2021-07-25,37
2021-08-01,45
2021-08-08,52
2021-08-15,33
2021-08-22,52
2021-08-29,76
