date,Cooking_CZ
2018-01-07,47
2018-01-14,60
2018-01-21,50
2018-01-28,63
2018-02-04,64
2018-02-11,54
2018-02-18,51
2018-02-25,58
2018-03-04,51
2018-03-11,46
2018-03-18,61
2018-03-25,83
2018-04-01,55
2018-04-08,55
2018-04-15,61
2018-04-22,48
2018-04-29,57
2018-05-06,59
2018-05-13,40
2018-05-20,58
2018-05-27,46
2018-06-03,52
2018-06-10,53
2018-06-17,48
2018-06-24,56
2018-07-01,61
2018-07-08,65
2018-07-15,70
2018-07-22,61
2018-07-29,48
2018-08-05,44
2018-08-12,69
2018-08-19,56
2018-08-26,54
2018-09-02,52
2018-09-09,62
2018-09-16,50
2018-09-23,49
2018-09-30,71
2018-10-07,59
2018-10-14,52
2018-10-21,69
2018-10-28,57
2018-11-04,54
2018-11-11,54
2018-11-18,70
2018-11-25,72
2018-12-02,59
2018-12-09,56
2018-12-16,69
2018-12-23,81
2018-12-30,82
2019-01-06,60
2019-01-13,71
2019-01-20,63
2019-01-27,52
2019-02-03,42
2019-02-10,33
2019-02-17,29
2019-02-24,45
2019-03-03,28
2019-03-10,40
2019-03-17,36
2019-03-24,32
2019-03-31,54
2019-04-07,52
2019-04-14,69
2019-04-21,75
2019-04-28,61
2019-05-05,59
2019-05-12,57
2019-05-19,54
2019-05-26,59
2019-06-02,44
2019-06-09,51
2019-06-16,37
2019-06-23,40
2019-06-30,52
2019-07-07,49
2019-07-14,61
2019-07-21,70
2019-07-28,66
2019-08-04,77
2019-08-11,59
2019-08-18,56
2019-08-25,57
2019-09-01,52
2019-09-08,70
2019-09-15,53
2019-09-22,54
2019-09-29,56
2019-10-06,56
2019-10-13,55
2019-10-20,44
2019-10-27,67
2019-11-03,63
2019-11-10,56
2019-11-17,56
2019-11-24,70
2019-12-01,58
2019-12-08,61
2019-12-15,59
2019-12-22,100
2019-12-29,70
2020-01-05,61
2020-01-12,65
2020-01-19,71
2020-01-26,64
2020-02-02,62
2020-02-09,57
2020-02-16,67
2020-02-23,64
2020-03-01,70
2020-03-08,50
