date,Learning_RO
2020-03-15,64
2020-03-22,68
2020-03-29,80
2020-04-05,75
2020-04-12,72
2020-04-19,64
2020-04-26,69
2020-05-03,88
2020-05-10,85
2020-05-17,75
2020-05-24,59
2020-05-31,74
2020-06-07,76
2020-06-14,44
2020-06-21,76
2020-06-28,73
2020-07-05,52
2020-07-12,57
2020-07-19,73
2020-07-26,54
2020-08-02,45
2020-08-09,39
2020-08-16,78
2020-08-23,54
2020-08-30,53
2020-09-06,65
2020-09-13,49
2020-09-20,74
2020-09-27,51
2020-10-04,78
2020-10-11,62
2020-10-18,69
2020-10-25,59
2020-11-01,75
2020-11-08,42
2020-11-15,100
2020-11-22,66
2020-11-29,72
2020-12-06,75
2020-12-13,76
2020-12-20,38
2020-12-27,58
2021-01-03,56
2021-01-10,89
2021-01-17,59
2021-01-24,65
2021-01-31,73
2021-02-07,66
2021-02-14,51
2021-02-21,64
2021-02-28,62
2021-03-07,62
2021-03-14,62
2021-03-21,59
2021-03-28,57
2021-04-04,64
2021-04-11,64
2021-04-18,72
2021-04-25,60
2021-05-02,59
2021-05-09,74
2021-05-16,67
2021-05-23,61
2021-05-30,70
2021-06-06,68
2021-06-13,89
2021-06-20,62
2021-06-27,34
2021-07-04,71
2021-07-11,58
2021-07-18,56
2021-07-25,55
2021-08-01,52
2021-08-08,57
2021-08-15,62
2021-08-22,50
2021-08-29,51
