date,Arts_PT
2020-03-15,78
2020-03-22,72
2020-03-29,61
2020-04-05,78
2020-04-12,81
2020-04-19,96
2020-04-26,85
2020-05-03,86
2020-05-10,100
2020-05-17,80
2020-05-24,77
2020-05-31,80
2020-06-07,78
2020-06-14,77
2020-06-21,61
2020-06-28,74
2020-07-05,64
2020-07-12,58
2020-07-19,60
2020-07-26,58
2020-08-02,64
2020-08-09,51
2020-08-16,55
2020-08-23,54
2020-08-30,73
2020-09-06,65
2020-09-13,61
2020-09-20,68
2020-09-27,67
2020-10-04,80
2020-10-11,71
2020-10-18,67
2020-10-25,66
2020-11-01,73
2020-11-08,72
2020-11-15,86
2020-11-22,77
2020-11-29,62
2020-12-06,64
2020-12-13,75
2020-12-20,46
2020-12-27,58
2021-01-03,66
2021-01-10,69
2021-01-17,59
2021-01-24,63
2021-01-31,61
2021-02-07,63
2021-02-14,75
2021-02-21,74
2021-02-28,63
2021-03-07,67
2021-03-14,85
2021-03-21,75
2021-03-28,55
2021-04-04,75
2021-04-11,85
2021-04-18,78
2021-04-25,77
2021-05-02,59
2021-05-09,83
2021-05-16,72
2021-05-23,69
2021-05-30,70
2021-06-06,69
2021-06-13,62
2021-06-20,66
2021-06-27,68
2021-07-04,68
2021-07-11,65
2021-07-18,64
2021-07-25,64
2021-08-01,69
2021-08-08,63
2021-08-15,46
2021-08-22,57
2021-08-29,59
