date,Learning_ZA
2020-03-15,63
2020-03-22,50
2020-03-29,64
2020-04-05,57
2020-04-12,76
2020-04-19,74
2020-04-26,56
2020-05-03,59
2020-05-10,57
2020-05-17,53
2020-05-24,61
2020-05-31,62
2020-06-07,70
2020-06-14,55
2020-06-21,64
2020-06-28,56
2020-07-05,53
2020-07-12,58
2020-07-19,58
2020-07-26,51
2020-08-02,58
2020-08-09,56
2020-08-16,68
2020-08-23,75
2020-08-30,79
2020-09-06,79
2020-09-13,77
2020-09-20,60
2020-09-27,68
2020-10-04,70
2020-10-11,68
2020-10-18,66
2020-10-25,59
2020-11-01,61
2020-11-08,72
2020-11-15,57
2020-11-22,50
2020-11-29,50
2020-12-06,37
2020-12-13,32
2020-12-20,21
2020-12-27,27
2021-01-03,34
2021-01-10,37
2021-01-17,47
2021-01-24,39
2021-01-31,43
2021-02-07,50
2021-02-14,49
2021-02-21,51
2021-02-28,49
2021-03-07,64
2021-03-14,63
2021-03-21,70
2021-03-28,77
2021-04-04,81
2021-04-11,78
2021-04-18,87
2021-04-25,67
2021-05-02,87
2021-05-09,100
2021-05-16,90
2021-05-23,82
2021-05-30,75
2021-06-06,88
2021-06-13,82
2021-06-20,70
2021-06-27,62
2021-07-04,54
2021-07-11,51
2021-07-18,45
2021-07-25,53
2021-08-01,60
2021-08-08,59
2021-08-15,72
2021-08-22,66
2021-08-29,75
