Category: All categories

Week,Learning: (Japan)
2018-01-07,82
2018-01-14,91
2018-01-21,81
2018-01-28,78
2018-02-04,76
2018-02-11,66
2018-02-18,83
2018-02-25,71
2018-03-04,70
2018-03-11,68
2018-03-18,68
2018-03-25,68
2018-04-01,74
2018-04-08,88
2018-04-15,85
2018-04-22,90
2018-04-29,50
2018-05-06,73
2018-05-13,88
2018-05-20,89
2018-05-27,87
2018-06-03,86
2018-06-10,84
2018-06-17,85
2018-06-24,88
2018-07-01,75
2018-07-08,76
2018-07-15,81
2018-07-22,87
2018-07-29,81
2018-08-05,58
2018-08-12,47
2018-08-19,78
2018-08-26,71
2018-09-02,79
2018-09-09,77
2018-09-16,77
2018-09-23,89
2018-09-30,76
2018-10-07,80
2018-10-14,79
2018-10-21,77
2018-10-28,85
2018-11-04,77
2018-11-11,73
2018-11-18,75
2018-11-25,87
2018-12-02,82
2018-12-09,69
2018-12-16,88
2018-12-23,59
2018-12-30,40
2019-01-06,84
2019-01-13,80
2019-01-20,83
2019-01-27,49
2019-02-03,43
2019-02-10,42
2019-02-17,50
2019-02-24,38
2019-03-03,45
2019-03-10,41
2019-03-17,39
2019-03-24,43
2019-03-31,69
2019-04-07,89
2019-04-14,82
2019-04-21,82
2019-04-28,37
2019-05-05,72
2019-05-12,77
2019-05-19,81
2019-05-26,71
2019-06-02,81
2019-06-09,89
2019-06-16,90
2019-06-23,100
2019-06-30,85
2019-07-07,94
2019-07-14,76
2019-07-21,78
2019-07-28,64
2019-08-04,60
2019-08-11,45
2019-08-18,66
2019-08-25,75
2019-09-01,78
2019-09-08,73
2019-09-15,74
2019-09-22,69
2019-09-29,78
2019-10-06,82
2019-10-13,66
2019-10-20,74
2019-10-27,71
2019-11-03,75
2019-11-10,77
2019-11-17,80
2019-11-24,87
2019-12-01,75
2019-12-08,75
2019-12-15,77
2019-12-22,63
2019-12-29,34
2020-01-05,81
2020-01-12,77
2020-01-19,67
2020-01-26,78
2020-02-02,65
2020-02-09,59
2020-02-16,68
2020-02-23,62
2020-03-01,57
2020-03-08,70
2020-03-15,62
2020-03-22,63
2020-03-29,54
2020-04-05,62
2020-04-12,68
2020-04-19,67
2020-04-26,59
2020-05-03,60
2020-05-10,77
2020-05-17,78
2020-05-24,74
2020-05-31,80
2020-06-07,84
2020-06-14,80
2020-06-21,73
2020-06-28,80
2020-07-05,64
2020-07-12,78
2020-07-19,78
2020-07-26,82
2020-08-02,79
2020-08-09,58
2020-08-16,67
2020-08-23,70
2020-08-30,65
2020-09-06,61
2020-09-13,71
2020-09-20,72
2020-09-27,72
2020-10-04,57
2020-10-11,65
2020-10-18,67
2020-10-25,63
2020-11-01,58
2020-11-08,72
2020-11-15,63
2020-11-22,71
2020-11-29,65
2020-12-06,66
2020-12-13,68
2020-12-20,58
2020-12-27,41
