Category: All categories

Week,Learning: (Germany)
2018-01-07,67
2018-01-14,60
2018-01-21,62
2018-01-28,67
2018-02-04,69
2018-02-11,63
2018-02-18,62
2018-02-25,72
2018-03-04,68
2018-03-11,55
2018-03-18,61
2018-03-25,57
2018-04-01,60
2018-04-08,58
2018-04-15,69
2018-04-22,57
2018-04-29,67
2018-05-06,72
2018-05-13,59
2018-05-20,64
2018-05-27,69
2018-06-03,61
2018-06-10,65
2018-06-17,66
2018-06-24,57
2018-07-01,57
2018-07-08,58
2018-07-15,64
2018-07-22,56
2018-07-29,62
2018-08-05,59
2018-08-12,55
2018-08-19,60
2018-08-26,56
2018-09-02,56
2018-09-09,61
2018-09-16,71
2018-09-23,63
2018-09-30,51
2018-10-07,65
2018-10-14,57
2018-10-21,61
2018-10-28,59
2018-11-04,66
2018-11-11,67
2018-11-18,67
2018-11-25,69
2018-12-02,67
2018-12-09,65
2018-12-16,60
2018-12-23,34
2018-12-30,47
2019-01-06,72
2019-01-13,72
2019-01-20,73
2019-01-27,93
2019-02-03,100
2019-02-10,82
2019-02-17,85
2019-02-24,94
2019-03-03,90
2019-03-10,94
2019-03-17,92
2019-03-24,82
2019-03-31,65
2019-04-07,72
2019-04-14,64
2019-04-21,68
2019-04-28,60
2019-05-05,73
2019-05-12,71
2019-05-19,69
2019-05-26,62
2019-06-02,65
2019-06-09,62
2019-06-16,67
2019-06-23,59
2019-06-30,71
2019-07-07,72
2019-07-14,76
2019-07-21,68
2019-07-28,64
2019-08-04,58
2019-08-11,57
2019-08-18,67
2019-08-25,54
2019-09-01,67
2019-09-08,67
2019-09-15,65
2019-09-22,69
2019-09-29,68
2019-10-06,61
2019-10-13,70
2019-10-20,67
2019-10-27,57
2019-11-03,65
2019-11-10,68
2019-11-17,74
2019-11-24,65
2019-12-01,67
2019-12-08,62
2019-12-15,58
2019-12-22,35
2019-12-29,47
2020-01-05,67
2020-01-12,68
2020-01-19,67
2020-01-26,68
2020-02-02,78
2020-02-09,65
2020-02-16,64
2020-02-23,61
2020-03-01,65
2020-03-08,59
2020-03-15,61
2020-03-22,67
2020-03-29,68
2020-04-05,75
2020-04-12,67
2020-04-19,78
2020-04-26,70
2020-05-03,71
2020-05-10,71
2020-05-17,68
2020-05-24,65
2020-05-31,66
2020-06-07,60
2020-06-14,59
2020-06-21,64
2020-06-28,62
2020-07-05,69
2020-07-12,65
2020-07-19,63
2020-07-26,65
2020-08-02,69
2020-08-09,53
2020-08-16,60
2020-08-23,64
2020-08-30,66
2020-09-06,66
2020-09-13,68
2020-09-20,71
2020-09-27,61
2020-10-04,65
2020-10-11,60
2020-10-18,49
2020-10-25,55
2020-11-01,53
2020-11-08,72
2020-11-15,66
2020-11-22,60
2020-11-29,72
2020-12-06,57
2020-12-13,55
2020-12-20,46
2020-12-27,59
