Category: All categories

Week,Musical instrument: (France)
2018-01-07,60
2018-01-14,52
2018-01-21,57
2018-01-28,52
2018-02-04,48
2018-02-11,58
2018-02-18,52
2018-02-25,42
2018-03-04,54
2018-03-11,48
2018-03-18,52
2018-03-25,60
2018-04-01,48
2018-04-08,52
2018-04-15,45
2018-04-22,41
2018-04-29,51
2018-05-06,51
2018-05-13,44
2018-05-20,52
2018-05-27,52
2018-06-03,40
2018-06-10,49
2018-06-17,38
2018-06-24,41
2018-07-01,40
2018-07-08,39
2018-07-15,39
2018-07-22,37
2018-07-29,37
2018-08-05,44
2018-08-12,56
2018-08-19,43
2018-08-26,52
2018-09-02,48
2018-09-09,60
2018-09-16,69
2018-09-23,58
2018-09-30,60
2018-10-07,55
2018-10-14,52
2018-10-21,57
2018-10-28,48
2018-11-04,49
2018-11-11,61
2018-11-18,53
2018-11-25,60
2018-12-02,54
2018-12-09,59
2018-12-16,62
2018-12-23,57
2018-12-30,61
2019-01-06,53
2019-01-13,59
2019-01-20,56
2019-01-27,48
2019-02-03,50
2019-02-10,46
2019-02-17,53
2019-02-24,53
2019-03-03,58
2019-03-10,53
2019-03-17,52
2019-03-24,56
2019-03-31,47
2019-04-07,45
2019-04-14,47
2019-04-21,45
2019-04-28,51
2019-05-05,51
2019-05-12,54
2019-05-19,49
2019-05-26,47
2019-06-02,44
2019-06-09,54
2019-06-16,45
2019-06-23,42
2019-06-30,43
2019-07-07,41
2019-07-14,41
2019-07-21,43
2019-07-28,46
2019-08-04,42
2019-08-11,47
2019-08-18,38
2019-08-25,44
2019-09-01,45
2019-09-08,66
2019-09-15,57
2019-09-22,61
2019-09-29,47
2019-10-06,52
2019-10-13,58
2019-10-20,60
2019-10-27,49
2019-11-03,45
2019-11-10,71
2019-11-17,61
2019-11-24,59
2019-12-01,59
2019-12-08,57
2019-12-15,53
2019-12-22,54
2019-12-29,60
2020-01-05,53
2020-01-12,54
2020-01-19,56
2020-01-26,60
2020-02-02,58
2020-02-09,55
2020-02-16,52
2020-02-23,50
2020-03-01,50
2020-03-08,54
2020-03-15,67
2020-03-22,89
2020-03-29,100
2020-04-05,81
2020-04-12,63
2020-04-19,70
2020-04-26,82
2020-05-03,73
2020-05-10,78
2020-05-17,71
2020-05-24,64
2020-05-31,64
2020-06-07,58
2020-06-14,56
2020-06-21,51
2020-06-28,53
2020-07-05,44
2020-07-12,48
2020-07-19,45
2020-07-26,47
2020-08-02,42
2020-08-09,41
2020-08-16,45
2020-08-23,45
2020-08-30,49
2020-09-06,56
2020-09-13,63
2020-09-20,59
2020-09-27,65
2020-10-04,68
2020-10-11,56
2020-10-18,53
2020-10-25,52
2020-11-01,53
2020-11-08,64
2020-11-15,63
2020-11-22,60
2020-11-29,68
2020-12-06,62
2020-12-13,52
2020-12-20,60
2020-12-27,56
