Category: All categories

Week,Musical instrument: (Germany)
2018-01-07,80
2018-01-14,74
2018-01-21,84
2018-01-28,76
2018-02-04,73
2018-02-11,63
2018-02-18,71
2018-02-25,79
2018-03-04,67
2018-03-11,78
2018-03-18,73
2018-03-25,60
2018-04-01,71
2018-04-08,65
2018-04-15,65
2018-04-22,62
2018-04-29,66
2018-05-06,63
2018-05-13,62
2018-05-20,68
2018-05-27,59
2018-06-03,71
2018-06-10,63
2018-06-17,64
2018-06-24,50
2018-07-01,63
2018-07-08,67
2018-07-15,60
2018-07-22,56
2018-07-29,56
2018-08-05,51
2018-08-12,64
2018-08-19,56
2018-08-26,65
2018-09-02,51
2018-09-09,76
2018-09-16,84
2018-09-23,70
2018-09-30,63
2018-10-07,70
2018-10-14,76
2018-10-21,79
2018-10-28,75
2018-11-04,82
2018-11-11,83
2018-11-18,71
2018-11-25,78
2018-12-02,66
2018-12-09,76
2018-12-16,62
2018-12-23,81
2018-12-30,86
2019-01-06,70
2019-01-13,77
2019-01-20,72
2019-01-27,71
2019-02-03,73
2019-02-10,74
2019-02-17,62
2019-02-24,52
2019-03-03,67
2019-03-10,73
2019-03-17,72
2019-03-24,74
2019-03-31,64
2019-04-07,75
2019-04-14,62
2019-04-21,53
2019-04-28,71
2019-05-05,73
2019-05-12,60
2019-05-19,65
2019-05-26,52
2019-06-02,66
2019-06-09,58
2019-06-16,54
2019-06-23,51
2019-06-30,61
2019-07-07,54
2019-07-14,61
2019-07-21,58
2019-07-28,54
2019-08-04,50
2019-08-11,64
2019-08-18,59
2019-08-25,65
2019-09-01,62
2019-09-08,64
2019-09-15,58
2019-09-22,66
2019-09-29,76
2019-10-06,70
2019-10-13,61
2019-10-20,69
2019-10-27,65
2019-11-03,67
2019-11-10,84
2019-11-17,82
2019-11-24,73
2019-12-01,69
2019-12-08,79
2019-12-15,72
2019-12-22,77
2019-12-29,73
2020-01-05,70
2020-01-12,86
2020-01-19,70
2020-01-26,71
2020-02-02,77
2020-02-09,66
2020-02-16,65
2020-02-23,71
2020-03-01,79
2020-03-08,59
2020-03-15,70
2020-03-22,86
2020-03-29,91
2020-04-05,75
2020-04-12,66
2020-04-19,79
2020-04-26,84
2020-05-03,92
2020-05-10,70
2020-05-17,74
2020-05-24,77
2020-05-31,61
2020-06-07,72
2020-06-14,84
2020-06-21,57
2020-06-28,69
2020-07-05,70
2020-07-12,59
2020-07-19,66
2020-07-26,51
2020-08-02,59
2020-08-09,48
2020-08-16,70
2020-08-23,64
2020-08-30,65
2020-09-06,65
2020-09-13,76
2020-09-20,67
2020-09-27,68
2020-10-04,72
2020-10-11,100
2020-10-18,69
2020-10-25,69
2020-11-01,67
2020-11-08,90
2020-11-15,82
2020-11-22,78
2020-11-29,86
2020-12-06,88
2020-12-13,69
2020-12-20,76
2020-12-27,74
